Date,Entite,instance,Nb_recus
2023-03-01,Entite 1,SAV,139.0
2023-03-02,Entite 1,SAV,108.0
2023-03-03,Entite 1,SAV,104.0
2023-03-04,Entite 1,SAV,39.0
2023-03-05,Entite 1,SAV,32.0
2023-03-06,Entite 1,SAV,93.0
2023-03-07,Entite 1,SAV,118.0
2023-03-08,Entite 1,SAV,120.0
2023-03-09,Entite 1,SAV,120.0
2023-03-10,Entite 1,SAV,162.0
2023-03-11,Entite 1,SAV,41.0
2023-03-12,Entite 1,SAV,24.0
2023-03-13,Entite 1,SAV,99.0
2023-03-14,Entite 1,SAV,144.0
2023-03-15,Entite 1,SAV,150.0
2023-03-16,Entite 1,SAV,92.0
2023-03-17,Entite 1,SAV,90.0
2023-03-18,Entite 1,SAV,36.0
2023-03-19,Entite 1,SAV,17.0
2023-03-20,Entite 1,SAV,188.0
2023-03-21,Entite 1,SAV,205.0
2023-03-22,Entite 1,SAV,279.0
2023-03-23,Entite 1,SAV,96.0
2023-03-24,Entite 1,SAV,110.0
2023-03-25,Entite 1,SAV,28.0
2023-03-26,Entite 1,SAV,32.0
2023-03-27,Entite 1,SAV,85.0
2023-03-28,Entite 1,SAV,86.0
2023-03-29,Entite 1,SAV,122.0
2023-03-30,Entite 1,SAV,139.0
2023-03-31,Entite 1,SAV,105.0
2023-03-01,Entite 2,COMMERCE,1171.0
2023-03-02,Entite 2,COMMERCE,1070.0
2023-03-03,Entite 2,COMMERCE,976.0
2023-03-04,Entite 2,COMMERCE,425.0
2023-03-05,Entite 2,COMMERCE,318.0
2023-03-06,Entite 2,COMMERCE,1244.0
2023-03-07,Entite 2,COMMERCE,1318.0
2023-03-08,Entite 2,COMMERCE,1133.0
2023-03-09,Entite 2,COMMERCE,1158.0
2023-03-10,Entite 2,COMMERCE,1106.0
2023-03-11,Entite 2,COMMERCE,453.0
2023-03-12,Entite 2,COMMERCE,291.0
2023-03-13,Entite 2,COMMERCE,1085.0
2023-03-14,Entite 2,COMMERCE,1175.0
2023-03-15,Entite 2,COMMERCE,1149.0
2023-03-16,Entite 2,COMMERCE,1066.0
2023-03-17,Entite 2,COMMERCE,1030.0
2023-03-18,Entite 2,COMMERCE,415.0
2023-03-19,Entite 2,COMMERCE,256.0
2023-03-20,Entite 2,COMMERCE,1118.0
2023-03-21,Entite 2,COMMERCE,1213.0
2023-03-22,Entite 2,COMMERCE,982.0
2023-03-23,Entite 2,COMMERCE,1012.0
2023-03-24,Entite 2,COMMERCE,934.0
2023-03-25,Entite 2,COMMERCE,340.0
2023-03-26,Entite 2,COMMERCE,240.0
2023-03-27,Entite 2,COMMERCE,915.0
2023-03-28,Entite 2,COMMERCE,959.0
2023-03-29,Entite 2,COMMERCE,947.0
2023-03-30,Entite 2,COMMERCE,879.0
2023-03-31,Entite 2,COMMERCE,885.0
2023-03-01,Entite 3,SAV,454.0
2023-03-02,Entite 3,SAV,475.0
2023-03-03,Entite 3,SAV,424.0
2023-03-04,Entite 3,SAV,75.0
2023-03-05,Entite 3,SAV,36.0
2023-03-06,Entite 3,SAV,592.0
2023-03-07,Entite 3,SAV,503.0
2023-03-08,Entite 3,SAV,426.0
2023-03-09,Entite 3,SAV,514.0
2023-03-10,Entite 3,SAV,453.0
2023-03-11,Entite 3,SAV,91.0
2023-03-12,Entite 3,SAV,34.0
2023-03-13,Entite 3,SAV,551.0
2023-03-14,Entite 3,SAV,521.0
2023-03-15,Entite 3,SAV,462.0
2023-03-16,Entite 3,SAV,457.0
2023-03-17,Entite 3,SAV,396.0
2023-03-18,Entite 3,SAV,83.0
2023-03-19,Entite 3,SAV,35.0
2023-03-20,Entite 3,SAV,515.0
2023-03-21,Entite 3,SAV,479.0
2023-03-22,Entite 3,SAV,495.0
2023-03-23,Entite 3,SAV,385.0
2023-03-24,Entite 3,SAV,423.0
2023-03-25,Entite 3,SAV,71.0
2023-03-26,Entite 3,SAV,19.0
2023-03-27,Entite 3,SAV,399.0
2023-03-28,Entite 3,SAV,470.0
2023-03-29,Entite 3,SAV,410.0
2023-03-30,Entite 3,SAV,425.0
2023-03-31,Entite 3,SAV,392.0
2023-03-01,Entite 4,SAV,331.0
2023-03-02,Entite 4,SAV,263.0
2023-03-03,Entite 4,SAV,255.0
2023-03-04,Entite 4,SAV,76.0
2023-03-05,Entite 4,SAV,59.0
2023-03-06,Entite 4,SAV,305.0
2023-03-07,Entite 4,SAV,403.0
2023-03-08,Entite 4,SAV,269.0
2023-03-09,Entite 4,SAV,315.0
2023-03-10,Entite 4,SAV,238.0
2023-03-11,Entite 4,SAV,58.0
2023-03-12,Entite 4,SAV,41.0
2023-03-13,Entite 4,SAV,318.0
2023-03-14,Entite 4,SAV,288.0
2023-03-15,Entite 4,SAV,311.0
2023-03-16,Entite 4,SAV,240.0
2023-03-17,Entite 4,SAV,200.0
2023-03-18,Entite 4,SAV,60.0
2023-03-19,Entite 4,SAV,49.0
2023-03-20,Entite 4,SAV,318.0
2023-03-21,Entite 4,SAV,273.0
2023-03-22,Entite 4,SAV,295.0
2023-03-23,Entite 4,SAV,273.0
