date_appel,Entite,Famille,Nombre_entrants_corrige
2023-03-01,Entite 1,F1,9.0
2023-03-02,Entite 1,F1,0.0
2023-03-03,Entite 1,F1,12.0
2023-03-04,Entite 1,F1,0.0
2023-03-05,Entite 1,F1,0.0
2023-03-06,Entite 1,F1,7.425
2023-03-07,Entite 1,F1,10.0
2023-03-08,Entite 1,F1,2.0
2023-03-09,Entite 1,F1,7.0
2023-03-10,Entite 1,F1,2.0
2023-03-11,Entite 1,F1,0.0
2023-03-12,Entite 1,F1,0.0
2023-03-13,Entite 1,F1,9.0
2023-03-14,Entite 1,F1,10.0
2023-03-15,Entite 1,F1,7.0
2023-03-16,Entite 1,F1,5.775
2023-03-17,Entite 1,F1,5.0
2023-03-18,Entite 1,F1,0.0
2023-03-19,Entite 1,F1,0.0
2023-03-20,Entite 1,F1,6.0
2023-03-21,Entite 1,F1,13.0
2023-03-22,Entite 1,F1,12.0
2023-03-23,Entite 1,F1,8.6428571429
2023-03-24,Entite 1,F1,8.0
2023-03-25,Entite 1,F1,0.0
2023-03-26,Entite 1,F1,0.0
2023-03-27,Entite 1,F1,9.0
2023-03-28,Entite 1,F1,1.0
2023-03-29,Entite 1,F1,7.0
2023-03-30,Entite 1,F1,1.0
2023-03-31,Entite 1,F1,1.0
2023-03-01,Entite 1,F2,58.692857143
2023-03-02,Entite 1,F2,60.014705882
2023-03-03,Entite 1,F2,60.564705882
2023-03-04,Entite 1,F2,18.133333333
2023-03-05,Entite 1,F2,0.0
2023-03-06,Entite 1,F2,76.252427184
2023-03-07,Entite 1,F2,70.024390244
2023-03-08,Entite 1,F2,57.805797101
2023-03-09,Entite 1,F2,58.177777778
2023-03-10,Entite 1,F2,63.525
2023-03-11,Entite 1,F2,27.5
2023-03-12,Entite 1,F2,0.0
2023-03-13,Entite 1,F2,91.115044248
2023-03-14,Entite 1,F2,68.631081081
2023-03-15,Entite 1,F2,62.228571429
2023-03-16,Entite 1,F2,76.266666667
2023-03-17,Entite 1,F2,70.007142857
2023-03-18,Entite 1,F2,24.2
2023-03-19,Entite 1,F2,0.0
2023-03-20,Entite 1,F2,70.18255814
2023-03-21,Entite 1,F2,65.541666667
2023-03-22,Entite 1,F2,67.517241379
2023-03-23,Entite 1,F2,65.415189873
2023-03-24,Entite 1,F2,74.846315789
2023-03-25,Entite 1,F2,27.5
2023-03-26,Entite 1,F2,0.0
2023-03-27,Entite 1,F2,77.20952381
2023-03-28,Entite 1,F2,81.277777778
2023-03-29,Entite 1,F2,70.658823529
2023-03-30,Entite 1,F2,68.75
2023-03-31,Entite 1,F2,57.2
2023-03-01,Entite 1,F3,443.0
2023-03-02,Entite 1,F3,379.0
2023-03-03,Entite 1,F3,361.03252033
2023-03-04,Entite 1,F3,88.280851064
2023-03-05,Entite 1,F3,0.0
2023-03-06,Entite 1,F3,536.0
2023-03-07,Entite 1,F3,549.0
2023-03-08,Entite 1,F3,482.0
2023-03-09,Entite 1,F3,464.0
2023-03-10,Entite 1,F3,463.17857143
2023-03-11,Entite 1,F3,171.99774011
2023-03-12,Entite 1,F3,0.0
2023-03-13,Entite 1,F3,578.0
2023-03-14,Entite 1,F3,495.0
2023-03-15,Entite 1,F3,629.57589928
2023-03-16,Entite 1,F3,557.17127072
2023-03-17,Entite 1,F3,421.7029703
2023-03-18,Entite 1,F3,135.0
2023-03-19,Entite 1,F3,0.0
2023-03-20,Entite 1,F3,569.8255814
2023-03-21,Entite 1,F3,526.5618677
2023-03-22,Entite 1,F3,475.0
2023-03-23,Entite 1,F3,450.22870588
2023-03-24,Entite 1,F3,401.0
2023-03-25,Entite 1,F3,101.70089286
2023-03-26,Entite 1,F3,0.0
2023-03-27,Entite 1,F3,493.0
2023-03-28,Entite 1,F3,376.0
2023-03-29,Entite 1,F3,432.0
2023-03-30,Entite 1,F3,371.82972973
2023-03-31,Entite 1,F3,372.69913043
2023-03-13,Entite 1,F4,1.0
2023-03-14,Entite 1,F4,0.0
2023-03-15,Entite 1,F4,1.0
2023-03-16,Entite 1,F4,6.0
2023-03-17,Entite 1,F4,0.0
2023-03-18,Entite 1,F4,0.0
2023-03-19,Entite 1,F4,0.0
2023-03-20,Entite 1,F4,0.0
2023-03-21,Entite 1,F4,0.0
2023-03-22,Entite 1,F4,0.0
2023-03-23,Entite 1,F4,0.0
2023-03-24,Entite 1,F4,0.0
2023-03-25,Entite 1,F4,0.0
2023-03-26,Entite 1,F4,0.0
2023-03-27,Entite 1,F4,1.0
2023-03-28,Entite 1,F4,0.0
2023-03-29,Entite 1,F4,1.0
2023-03-01,Entite 1,F5,52.027659574
2023-03-02,Entite 1,F5,48.829268293
