date_appel;Entite;Famille;Nombre_entrants_corrige
02/01/2019;Entite 1;F2;165
02/01/2019;Entite 1;F3;54
02/01/2019;Entite 1;F4;1
02/01/2019;Entite 1;F5;99
02/01/2019;Entite 1;F6;1487
02/01/2019;Entite 1;F7;808
02/01/2019;Entite 2;F1;1479
02/01/2019;Entite 2;F2;895
02/01/2019;Entite 2;F3;41
02/01/2019;Entite 3;F2;12
02/01/2019;Entite 3;F5;297
02/01/2019;Entite 3;F7;813
02/01/2019;Entite 4;F5;42
02/01/2019;Entite 4;F7;337
02/01/2019;Entite 5;F1;2
02/01/2019;Entite 5;F2;777
02/01/2019;Entite 5;F3;38
02/01/2019;Entite 5;F5;579
02/01/2019;Entite 5;F6;873
02/01/2019;Entite 5;F7;4222
03/01/2019;Entite 1;F2;167
03/01/2019;Entite 1;F3;46
03/01/2019;Entite 1;F5;123
03/01/2019;Entite 1;F6;1440
03/01/2019;Entite 1;F7;777
03/01/2019;Entite 2;F1;1551
03/01/2019;Entite 2;F2;940
03/01/2019;Entite 2;F3;12
03/01/2019;Entite 3;F2;7
03/01/2019;Entite 3;F5;396
03/01/2019;Entite 3;F7;773
03/01/2019;Entite 4;F5;38
03/01/2019;Entite 4;F7;328
03/01/2019;Entite 5;F2;777
03/01/2019;Entite 5;F3;27
03/01/2019;Entite 5;F5;523
03/01/2019;Entite 5;F6;911
03/01/2019;Entite 5;F7;3888
04/01/2019;Entite 1;F1;1
04/01/2019;Entite 1;F2;192
04/01/2019;Entite 1;F3;49
04/01/2019;Entite 1;F5;125
04/01/2019;Entite 1;F6;1482
04/01/2019;Entite 1;F7;763
04/01/2019;Entite 2;F1;1651
04/01/2019;Entite 2;F2;884
04/01/2019;Entite 2;F3;14
04/01/2019;Entite 3;F2;27
04/01/2019;Entite 3;F5;405
04/01/2019;Entite 3;F7;738
04/01/2019;Entite 4;F5;47
04/01/2019;Entite 4;F7;389
04/01/2019;Entite 5;F2;752
04/01/2019;Entite 5;F3;36
04/01/2019;Entite 5;F5;483
04/01/2019;Entite 5;F6;771
04/01/2019;Entite 5;F7;4044
05/01/2019;Entite 1;F2;16
05/01/2019;Entite 1;F3;26
05/01/2019;Entite 1;F5;17
05/01/2019;Entite 1;F6;582
05/01/2019;Entite 1;F7;242
05/01/2019;Entite 2;F1;405
05/01/2019;Entite 2;F2;235
05/01/2019;Entite 2;F3;12
05/01/2019;Entite 3;F2;3
05/01/2019;Entite 3;F7;25
05/01/2019;Entite 5;F2;208
05/01/2019;Entite 5;F3;38
05/01/2019;Entite 5;F5;111
05/01/2019;Entite 5;F6;495
05/01/2019;Entite 5;F7;1108
07/01/2019;Entite 1;F1;1
07/01/2019;Entite 1;F2;207
07/01/2019;Entite 1;F3;90
07/01/2019;Entite 1;F5;135
07/01/2019;Entite 1;F6;2087
07/01/2019;Entite 1;F7;1257
07/01/2019;Entite 2;F1;2360
07/01/2019;Entite 2;F2;1118
07/01/2019;Entite 2;F3;63
07/01/2019;Entite 2;F5;2
07/01/2019;Entite 3;F2;15
07/01/2019;Entite 3;F5;458
07/01/2019;Entite 3;F7;882
07/01/2019;Entite 4;F5;65
07/01/2019;Entite 4;F7;656
07/01/2019;Entite 5;F2;1024
07/01/2019;Entite 5;F3;70
07/01/2019;Entite 5;F5;659
07/01/2019;Entite 5;F6;860
07/01/2019;Entite 5;F7;5320
08/01/2019;Entite 1;F2;167
08/01/2019;Entite 1;F3;315
08/01/2019;Entite 1;F5;125
08/01/2019;Entite 1;F6;1753
08/01/2019;Entite 1;F7;1233
08/01/2019;Entite 2;F1;2433
08/01/2019;Entite 2;F2;1027
08/01/2019;Entite 2;F3;589
08/01/2019;Entite 2;F5;1
08/01/2019;Entite 3;F2;8
08/01/2019;Entite 3;F5;360
08/01/2019;Entite 3;F7;878
08/01/2019;Entite 4;F5;46
08/01/2019;Entite 4;F7;455
08/01/2019;Entite 5;F1;2
08/01/2019;Entite 5;F2;965
08/01/2019;Entite 5;F3;50
08/01/2019;Entite 5;F5;586
08/01/2019;Entite 5;F6;632
08/01/2019;Entite 5;F7;4721
09/01/2019;Entite 1;F2;265
09/01/2019;Entite 1;F3;293
09/01/2019;Entite 1;F4;1
09/01/2019;Entite 1;F5;102
09/01/2019;Entite 1;F6;1464
09/01/2019;Entite 1;F7;1234
09/01/2019;Entite 2;F1;2055
09/01/2019;Entite 2;F2;1081
09/01/2019;Entite 2;F3;385
09/01/2019;Entite 3;F2;14
09/01/2019;Entite 3;F5;368
09/01/2019;Entite 3;F7;745
09/01/2019;Entite 4;F5;22
09/01/2019;Entite 4;F7;305
09/01/2019;Entite 5;F2;832
09/01/2019;Entite 5;F3;51
09/01/2019;Entite 5;F5;485
09/01/2019;Entite 5;F6;703
09/01/2019;Entite 5;F7;4440
10/01/2019;Entite 1;F2;175
10/01/2019;Entite 1;F3;300
10/01/2019;Entite 1;F4;3
10/01/2019;Entite 1;F5;109
10/01/2019;Entite 1;F6;1643
10/01/2019;Entite 1;F7;859
10/01/2019;Entite 2;F1;1899
10/01/2019;Entite 2;F2;1001
10/01/2019;Entite 2;F3;436
10/01/2019;Entite 2;F5;2
10/01/2019;Entite 3;F2;5
10/01/2019;Entite 3;F5;330
10/01/2019;Entite 3;F7;751
10/01/2019;Entite 4;F5;49
10/01/2019;Entite 4;F7;285
10/01/2019;Entite 5;F1;1
10/01/2019;Entite 5;F2;756
10/01/2019;Entite 5;F3;48
10/01/2019;Entite 5;F5;534
10/01/2019;Entite 5;F6;729
10/01/2019;Entite 5;F7;4494
11/01/2019;Entite 1;F2;176
11/01/2019;Entite 1;F3;266
11/01/2019;Entite 1;F4;2
11/01/2019;Entite 1;F5;117
11/01/2019;Entite 1;F6;1548
11/01/2019;Entite 1;F7;819
11/01/2019;Entite 2;F1;1853
11/01/2019;Entite 2;F2;1007
11/01/2019;Entite 2;F3;422
11/01/2019;Entite 2;F5;1
11/01/2019;Entite 3;F2;4
11/01/2019;Entite 3;F5;409
11/01/2019;Entite 3;F7;806
11/01/2019;Entite 4;F5;41
11/01/2019;Entite 4;F7;298
11/01/2019;Entite 5;F2;777
11/01/2019;Entite 5;F3;39
11/01/2019;Entite 5;F5;500
11/01/2019;Entite 5;F6;809
11/01/2019;Entite 5;F7;4037
12/01/2019;Entite 1;F2;22
12/01/2019;Entite 1;F3;54
12/01/2019;Entite 1;F4;1
12/01/2019;Entite 1;F5;15
12/01/2019;Entite 1;F6;516
12/01/2019;Entite 1;F7;211
12/01/2019;Entite 2;F1;496
12/01/2019;Entite 2;F2;303
12/01/2019;Entite 2;F3;122
12/01/2019;Entite 3;F7;36
12/01/2019;Entite 5;F2;198
12/01/2019;Entite 5;F3;27
12/01/2019;Entite 5;F5;108
12/01/2019;Entite 5;F6;570
12/01/2019;Entite 5;F7;1197
14/01/2019;Entite 1;F2;231
14/01/2019;Entite 1;F3;307
14/01/2019;Entite 1;F4;1
14/01/2019;Entite 1;F5;154
14/01/2019;Entite 1;F6;1614
14/01/2019;Entite 1;F7;1118
14/01/2019;Entite 2;F1;2145
14/01/2019;Entite 2;F2;1277
14/01/2019;Entite 2;F3;479
14/01/2019;Entite 3;F2;12
14/01/2019;Entite 3;F5;530
14/01/2019;Entite 3;F7;973
14/01/2019;Entite 4;F5;62
14/01/2019;Entite 4;F7;552
14/01/2019;Entite 5;F1;5
14/01/2019;Entite 5;F2;1072
14/01/2019;Entite 5;F3;55
14/01/2019;Entite 5;F5;526
14/01/2019;Entite 5;F6;816
14/01/2019;Entite 5;F7;5221
15/01/2019;Entite 1;F2;153
15/01/2019;Entite 1;F3;288
15/01/2019;Entite 1;F5;119
15/01/2019;Entite 1;F6;1495
15/01/2019;Entite 1;F7;933
15/01/2019;Entite 2;F1;2013
15/01/2019;Entite 2;F2;1219
15/01/2019;Entite 2;F3;414
15/01/2019;Entite 2;F5;1
15/01/2019;Entite 3;F2;7
15/01/2019;Entite 3;F5;464
15/01/2019;Entite 3;F7;987
15/01/2019;Entite 4;F5;73
15/01/2019;Entite 4;F7;506
15/01/2019;Entite 5;F2;957
15/01/2019;Entite 5;F3;44
15/01/2019;Entite 5;F5;527
15/01/2019;Entite 5;F6;609
15/01/2019;Entite 5;F7;4503
16/01/2019;Entite 1;F1;23
16/01/2019;Entite 1;F2;158
16/01/2019;Entite 1;F3;257
16/01/2019;Entite 1;F5;123
16/01/2019;Entite 1;F6;1513
16/01/2019;Entite 1;F7;885
16/01/2019;Entite 2;F1;1986
16/01/2019;Entite 2;F2;1164
16/01/2019;Entite 2;F3;401
16/01/2019;Entite 3;F2;13
16/01/2019;Entite 3;F5;478
16/01/2019;Entite 3;F7;816
16/01/2019;Entite 4;F5;77
16/01/2019;Entite 4;F7;372
16/01/2019;Entite 5;F1;2
16/01/2019;Entite 5;F2;978
16/01/2019;Entite 5;F3;39
16/01/2019;Entite 5;F5;485
16/01/2019;Entite 5;F6;683
16/01/2019;Entite 5;F7;4275
17/01/2019;Entite 1;F1;21
17/01/2019;Entite 1;F2;183
17/01/2019;Entite 1;F3;273
17/01/2019;Entite 1;F5;77
17/01/2019;Entite 1;F6;1472
17/01/2019;Entite 1;F7;703
17/01/2019;Entite 2;F1;1833
17/01/2019;Entite 2;F2;1065
17/01/2019;Entite 2;F3;375
17/01/2019;Entite 3;F2;24
17/01/2019;Entite 3;F5;448
17/01/2019;Entite 3;F7;781
17/01/2019;Entite 4;F5;50
17/01/2019;Entite 4;F7;316
17/01/2019;Entite 5;F1;61
