date_appel,Entite,Famille,Nombre_entrants_corrige
2022-07-07,Entite 1,F1,-27.0
2022-07-08,Entite 1,F1,-0.5333333330000016
2022-07-09,Entite 1,F1,0.0
2022-07-10,Entite 1,F1,0.0
2022-07-11,Entite 1,F1,3.0
2022-07-12,Entite 1,F1,1.0
2022-07-13,Entite 1,F1,0.6374999999999993
2022-07-14,Entite 1,F1,-11.0
2022-07-15,Entite 1,F1,-6.5
2022-07-16,Entite 1,F1,0.0
2022-07-17,Entite 1,F1,0.0
2022-07-18,Entite 1,F1,3.0
2022-07-19,Entite 1,F1,-6.0
2022-07-20,Entite 1,F1,-4.0
2022-07-21,Entite 1,F1,19.0
2022-07-22,Entite 1,F1,-3.5
2022-07-23,Entite 1,F1,0.0
2022-07-24,Entite 1,F1,0.0
2022-07-25,Entite 1,F1,-4.0
2022-07-26,Entite 1,F1,7.0
2022-07-27,Entite 1,F1,1.0
2022-07-28,Entite 1,F1,-14.0
2022-07-29,Entite 1,F1,-4.0
2022-07-30,Entite 1,F1,0.0
2022-07-31,Entite 1,F1,0.0
2022-08-01,Entite 1,F1,-8.0
2022-08-02,Entite 1,F1,-15.0
2022-08-03,Entite 1,F1,-10.0
2022-08-04,Entite 1,F1,3.0
2022-08-05,Entite 1,F1,-1.0
2022-08-06,Entite 1,F1,0.0
2022-08-07,Entite 1,F1,0.0
2022-08-08,Entite 1,F1,4.0
2022-08-09,Entite 1,F1,11.0
2022-08-10,Entite 1,F1,6.725
2022-08-11,Entite 1,F1,4.0
2022-08-12,Entite 1,F1,2.0
2022-08-13,Entite 1,F1,0.0
2022-08-14,Entite 1,F1,0.0
2022-08-15,Entite 1,F1,-12.0
2022-08-16,Entite 1,F1,6.0
2022-08-17,Entite 1,F1,0.27500000000000036
2022-08-18,Entite 1,F1,-5.0
2022-08-19,Entite 1,F1,1.0
2022-08-20,Entite 1,F1,0.0
2022-08-21,Entite 1,F1,0.0
2022-08-22,Entite 1,F1,15.4
2022-08-23,Entite 1,F1,-6.800000000000001
2022-08-24,Entite 1,F1,0.0
2022-08-25,Entite 1,F1,12.0
2022-08-26,Entite 1,F1,0.8000000000000007
2022-08-27,Entite 1,F1,0.0
2022-08-28,Entite 1,F1,0.0
2022-08-29,Entite 1,F1,-11.4
2022-08-30,Entite 1,F1,-8.2
2022-08-31,Entite 1,F1,-6.05
2022-09-01,Entite 1,F1,-13.0
2022-09-02,Entite 1,F1,2.1999999999999993
2022-09-03,Entite 1,F1,0.0
2022-09-04,Entite 1,F1,0.0
2022-09-05,Entite 1,F1,6.0
2022-09-06,Entite 1,F1,1.0
2022-09-07,Entite 1,F1,0.04999999999999982
2022-09-08,Entite 1,F1,-2.0
2022-09-09,Entite 1,F1,-6.0
2022-09-10,Entite 1,F1,0.0
2022-09-11,Entite 1,F1,0.0
2022-09-12,Entite 1,F1,-3.0
2022-09-13,Entite 1,F1,-4.0
2022-09-14,Entite 1,F1,5.0
2022-09-15,Entite 1,F1,6.0
2022-09-16,Entite 1,F1,-4.0
2022-09-17,Entite 1,F1,0.0
2022-09-18,Entite 1,F1,0.0
2022-09-19,Entite 1,F1,-4.0
2022-09-20,Entite 1,F1,10.0
2022-09-21,Entite 1,F1,-1.0
2022-09-22,Entite 1,F1,-1.0
2022-09-23,Entite 1,F1,10.0
2022-09-24,Entite 1,F1,0.0
2022-09-25,Entite 1,F1,0.0
2022-09-26,Entite 1,F1,1.0
2022-09-27,Entite 1,F1,6.0
2022-09-28,Entite 1,F1,-1.0
2022-09-29,Entite 1,F1,2.5500000000000007
2022-09-30,Entite 1,F1,1.0
2022-10-01,Entite 1,F1,0.0
2022-10-02,Entite 1,F1,0.0
2022-10-03,Entite 1,F1,11.085714286
2022-10-04,Entite 1,F1,-1.0
2022-10-05,Entite 1,F1,1.0
2022-10-06,Entite 1,F1,-1.4666666670000001
2022-10-07,Entite 1,F1,-4.0
2022-10-08,Entite 1,F1,0.0
2022-10-09,Entite 1,F1,0.0
2022-10-10,Entite 1,F1,-3.085714286
2022-10-11,Entite 1,F1,-7.0
2022-10-12,Entite 1,F1,4.688888888999999
2022-10-13,Entite 1,F1,8.066666666999998
2022-10-14,Entite 1,F1,-3.0
2022-10-15,Entite 1,F1,0.0
2022-10-16,Entite 1,F1,0.0
