model,Entite,Famille,mape,mase,mae,mse
NaiveDrift,Entite 1,F1,113.7499232133997,2.423340154203425,0.537391338707245,0.36907224212802503
NaiveDrift,Entite 2,F1,1148.7877951113578,4.483876529604206,0.806088425661561,0.8309296683856752
NaiveDrift,Entite 5,F1,9.793890458158202,1.0248871990450288,0.08190186027488176,0.012262364389022805
NaiveDrift,Entite 1,F2,33.044954879919345,1.6553220546950131,0.2313750082513901,0.06852966995360556
NaiveDrift,Entite 2,F2,170.20250834849077,4.2680975394268845,0.5209180386571043,0.3514280161328373
NaiveDrift,Entite 3,F2,50.272534791421066,1.3967018823680477,0.24334509706276555,0.10522663592809885
NaiveDrift,Entite 5,F2,56.13051546346569,4.4034729771073895,0.3245002224831445,0.1348915373795331
NaiveDrift,Entite 1,F3,2580.7613641711587,4.063218637283246,0.8390905322635452,0.9160169582396128
NaiveDrift,Entite 2,F3,4837.149951628176,3.2727289548442697,0.6900836217979902,0.6323396764464979
NaiveDrift,Entite 5,F3,2865.698903949321,3.4044834798175327,0.5242376848021993,0.38128723813722903
NaiveDrift,Entite 1,F5,1602.2555513633588,3.6892567332736146,0.6548369225388125,0.5686675363331813
NaiveDrift,Entite 3,F5,105.10491025603991,3.0377750693163157,0.42472538674489596,0.24524230038436826
NaiveDrift,Entite 4,F5,622.542840746505,2.5948630451445416,0.6090487546796172,0.5410961247126536
NaiveDrift,Entite 5,F5,395.5131133498463,6.24244637293104,1.0087636558515283,1.2940896721508437
NaiveDrift,Entite 1,F6,1402.609321428519,5.671624595326628,0.9074574473841357,1.058582881108233
NaiveDrift,Entite 5,F6,1015.3600827614687,4.841114721461455,0.7442965070296321,0.670182190542249
NaiveDrift,Entite 1,F7,24.66625284167529,3.434174354313843,0.18705623952749467,0.04501468229521067
NaiveDrift,Entite 3,F7,1827.3520491186819,5.1853519994888995,0.7114397648938472,0.701638382756889
NaiveDrift,Entite 4,F7,3013.2736116702604,4.9937116636818235,0.7761975752522363,0.8150827775625239
NaiveDrift,Entite 5,F7,291.6096885650899,7.027614203636245,1.0942735948582047,1.5412831035273187
