model,Entite,Famille,mape,mase,mae,mse
Sarima,Entite 1,F1,28.83164967419887,0.6669246879769988,0.14789485919556364,0.037826369503804
Sarima,Entite 2,F1,210.12594565635288,0.9127294760938706,0.1640858443763512,0.03978313669712013
Sarima,Entite 5,F1,4.4613615715057495,0.4499792834270122,0.03595921622610818,0.004329747977743878
Sarima,Entite 1,F2,11.022363659218913,0.5705252929662111,0.07974598900152112,0.009011862339756233
Sarima,Entite 2,F2,28.98534297766629,0.690811712126849,0.08431304084273468,0.011748764806283951
Sarima,Entite 3,F2,36.15990113706812,1.1752100022493874,0.20475492707265536,0.08124225553194711
Sarima,Entite 5,F2,8.319194349109337,0.6551721916283965,0.048280873540829994,0.00366354751563799
Sarima,Entite 1,F3,384.7678303877929,0.7227883783439701,0.14926218331781804,0.04348503104245103
Sarima,Entite 2,F3,1362.6684470351815,0.787337308351493,0.16601698118618965,0.051143443427064186
Sarima,Entite 5,F3,376.9170964513918,0.9106066863205001,0.14021931486289568,0.049804249744101664
Sarima,Entite 1,F5,688.9192980327848,1.2306663211044293,0.21844122126710716,0.07823699900751983
Sarima,Entite 3,F5,44.10368140843622,1.1852359271424975,0.165713318482411,0.04379112339431934
Sarima,Entite 4,F5,268.0974877894251,1.1132586079600846,0.2612965528501276,0.12887209420055987
Sarima,Entite 5,F5,85.67558935235212,1.640778241035029,0.26514564290777937,0.10641632702353263
Sarima,Entite 1,F6,249.2458219307194,1.5044924055205111,0.2407181249350365,0.08430138561876958
Sarima,Entite 5,F6,246.56489727793166,1.1612712323545795,0.17853948350444837,0.046917061738190255
Sarima,Entite 1,F7,3.213444510498637,0.45092646973484696,0.0245615396976145,0.0009704676924238497
Sarima,Entite 3,F7,637.8647708011374,1.9228398972459846,0.2638171457906869,0.10855659511122752
Sarima,Entite 4,F7,1058.254136286319,1.639701924208964,0.2548670695113879,0.10506835012400817
Sarima,Entite 5,F7,41.499156152354416,1.2831897119146072,0.19980616155840167,0.07255540844446093
