Entite,Famille,d,D,m,P,Q,p,q
Entite 1,F1,0,1,7,1,0,0,0
Entite 2,F1,0,1,7,1,0,1,1
Entite 5,F1,0,1,7,1,0,1,2
Entite 1,F2,1,1,7,1,0,0,1
Entite 2,F2,0,1,7,1,0,2,0
Entite 3,F2,0,1,7,1,0,0,0
Entite 5,F2,0,1,7,1,0,0,0
Entite 1,F3,0,1,7,1,0,3,1
Entite 2,F3,0,1,7,1,0,3,1
Entite 5,F3,0,1,7,1,0,3,2
Entite 1,F5,0,1,7,1,0,0,0
Entite 3,F5,1,1,7,1,0,2,1
Entite 4,F5,1,1,7,1,0,3,1
Entite 5,F5,0,1,7,1,0,0,0
Entite 1,F6,0,1,7,1,0,0,1
Entite 5,F6,1,1,7,1,0,2,2
Entite 1,F7,0,1,7,1,0,1,3
Entite 3,F7,1,1,7,1,0,1,2
Entite 4,F7,1,1,7,1,0,2,2
Entite 5,F7,0,1,7,1,0,1,2
