date_appel,Entite,Famille,Nombre_entrants_corrige
2019-01-02,Entite 1,F2,165.0
2019-01-02,Entite 1,F3,54.0
2019-01-02,Entite 1,F4,1.0
2019-01-02,Entite 1,F5,99.0
2019-01-02,Entite 1,F6,1487.0
2019-01-02,Entite 1,F7,808.0
2019-01-02,Entite 2,F1,1479.0
2019-01-02,Entite 2,F2,895.0
2019-01-02,Entite 2,F3,41.0
2019-01-02,Entite 3,F2,12.0
2019-01-02,Entite 3,F5,297.0
2019-01-02,Entite 3,F7,813.0
2019-01-02,Entite 4,F5,42.0
2019-01-02,Entite 4,F7,337.0
2019-01-02,Entite 5,F1,2.0
2019-01-02,Entite 5,F2,777.0
2019-01-02,Entite 5,F3,38.0
2019-01-02,Entite 5,F5,579.0
2019-01-02,Entite 5,F6,873.0
2019-01-02,Entite 5,F7,4222.0
2019-01-03,Entite 1,F2,167.0
2019-01-03,Entite 1,F3,46.0
2019-01-03,Entite 1,F5,123.0
2019-01-03,Entite 1,F6,1440.0
2019-01-03,Entite 1,F7,777.0
2019-01-03,Entite 2,F1,1551.0
2019-01-03,Entite 2,F2,940.0
2019-01-03,Entite 2,F3,12.0
2019-01-03,Entite 3,F2,7.0
2019-01-03,Entite 3,F5,396.0
2019-01-03,Entite 3,F7,773.0
2019-01-03,Entite 4,F5,38.0
2019-01-03,Entite 4,F7,328.0
2019-01-03,Entite 5,F2,777.0
2019-01-03,Entite 5,F3,27.0
2019-01-03,Entite 5,F5,523.0
2019-01-03,Entite 5,F6,911.0
2019-01-03,Entite 5,F7,3888.0
2019-01-04,Entite 1,F1,1.0
2019-01-04,Entite 1,F2,192.0
2019-01-04,Entite 1,F3,49.0
2019-01-04,Entite 1,F5,125.0
2019-01-04,Entite 1,F6,1482.0
2019-01-04,Entite 1,F7,763.0
2019-01-04,Entite 2,F1,1651.0
2019-01-04,Entite 2,F2,884.0
2019-01-04,Entite 2,F3,14.0
2019-01-04,Entite 3,F2,27.0
2019-01-04,Entite 3,F5,405.0
2019-01-04,Entite 3,F7,738.0
2019-01-04,Entite 4,F5,47.0
2019-01-04,Entite 4,F7,389.0
2019-01-04,Entite 5,F2,752.0
2019-01-04,Entite 5,F3,36.0
2019-01-04,Entite 5,F5,483.0
2019-01-04,Entite 5,F6,771.0
2019-01-04,Entite 5,F7,4044.0
2019-01-05,Entite 1,F2,16.0
2019-01-05,Entite 1,F3,26.0
2019-01-05,Entite 1,F5,17.0
2019-01-05,Entite 1,F6,582.0
2019-01-05,Entite 1,F7,242.0
2019-01-05,Entite 2,F1,405.0
2019-01-05,Entite 2,F2,235.0
2019-01-05,Entite 2,F3,12.0
2019-01-05,Entite 3,F2,3.0
2019-01-05,Entite 3,F7,25.0
2019-01-05,Entite 5,F2,208.0
2019-01-05,Entite 5,F3,38.0
2019-01-05,Entite 5,F5,111.0
2019-01-05,Entite 5,F6,495.0
2019-01-05,Entite 5,F7,1108.0
2019-01-07,Entite 1,F1,1.0
2019-01-07,Entite 1,F2,207.0
2019-01-07,Entite 1,F3,90.0
2019-01-07,Entite 1,F5,135.0
2019-01-07,Entite 1,F6,2087.0
2019-01-07,Entite 1,F7,1257.0
2019-01-07,Entite 2,F1,2360.0
2019-01-07,Entite 2,F2,1118.0
2019-01-07,Entite 2,F3,63.0
2019-01-07,Entite 2,F5,2.0
2019-01-07,Entite 3,F2,15.0
2019-01-07,Entite 3,F5,458.0
2019-01-07,Entite 3,F7,882.0
2019-01-07,Entite 4,F5,65.0
2019-01-07,Entite 4,F7,656.0
2019-01-07,Entite 5,F2,1024.0
2019-01-07,Entite 5,F3,70.0
2019-01-07,Entite 5,F5,659.0
2019-01-07,Entite 5,F6,860.0
2019-01-07,Entite 5,F7,5320.0
2019-01-08,Entite 1,F2,167.0
2019-01-08,Entite 1,F3,315.0
2019-01-08,Entite 1,F5,125.0
2019-01-08,Entite 1,F6,1753.0
2019-01-08,Entite 1,F7,1233.0
2019-01-08,Entite 2,F1,2433.0
2019-01-08,Entite 2,F2,1027.0
2019-01-08,Entite 2,F3,589.0
2019-01-08,Entite 2,F5,1.0
2019-01-08,Entite 3,F2,8.0
2019-01-08,Entite 3,F5,360.0
2019-01-08,Entite 3,F7,878.0
2019-01-08,Entite 4,F5,46.0
2019-01-08,Entite 4,F7,455.0
2019-01-08,Entite 5,F1,2.0
2019-01-08,Entite 5,F2,965.0
2019-01-08,Entite 5,F3,50.0
2019-01-08,Entite 5,F5,586.0
2019-01-08,Entite 5,F6,632.0
2019-01-08,Entite 5,F7,4721.0
2019-01-09,Entite 1,F2,265.0
2019-01-09,Entite 1,F3,293.0
2019-01-09,Entite 1,F4,1.0
2019-01-09,Entite 1,F5,102.0
2019-01-09,Entite 1,F6,1464.0
