Entite,Famille,Features,Importances
entite,famille,t-1,0.1537663
entite,famille,t-2,0.026136974
entite,famille,t-3,0.03994488
entite,famille,t-4,0.026870115
entite,famille,t-5,0.037213523
entite,famille,t-6,0.026450941
entite,famille,t-7,0.04076699
entite,famille,jour,0.030210897
entite,famille,joursemaine,0.026397439
entite,famille,mois,0.024899056
entite,famille,annee,0.0
entite,famille,semaine,0.026493808
entite,famille,Ferie,6.604213e-05
entite,famille,avant_Ferie,0.038613826
entite,famille,après_Ferie,0.29527795
entite,famille,solde_ete,0.20689131
entite,famille,solde_hiver,0.0
entite,famille,t-1,0.14351341
entite,famille,t-2,0.021903984
entite,famille,t-3,0.0019949279
entite,famille,t-4,0.0030289346
entite,famille,t-5,0.0030301402
entite,famille,t-6,0.0027477993
entite,famille,t-7,0.010056749
entite,famille,jour,0.008227264
entite,famille,joursemaine,0.27768946
entite,famille,mois,0.0031809409
entite,famille,annee,0.004448996
entite,famille,semaine,0.004422761
entite,famille,Ferie,0.0057458496
entite,famille,avant_Ferie,0.0060640974
entite,famille,après_Ferie,0.5029537
entite,famille,solde_ete,0.0003863839
entite,famille,solde_hiver,0.00060461764
entite,famille,t-1,0.06257549
entite,famille,t-2,0.046988964
entite,famille,t-3,0.025081556
entite,famille,t-4,0.059433457
entite,famille,t-5,0.028322598
entite,famille,t-6,0.06556028
entite,famille,t-7,0.058886714
entite,famille,jour,0.0196829
entite,famille,joursemaine,0.11633279
entite,famille,mois,0.012986357
entite,famille,annee,0.06226953
entite,famille,semaine,0.07480792
entite,famille,Ferie,0.041139107
entite,famille,avant_Ferie,0.06167233
entite,famille,après_Ferie,0.22911903
entite,famille,solde_ete,0.018954648
entite,famille,solde_hiver,0.016186396
entite,famille,t-1,0.21396102
entite,famille,t-2,0.02317233
entite,famille,t-3,0.004351645
entite,famille,t-4,0.0029234248
entite,famille,t-5,0.005556732
entite,famille,t-6,0.0035159753
entite,famille,t-7,0.014583673
entite,famille,jour,0.0040350384
entite,famille,joursemaine,0.19540429
entite,famille,mois,0.003310471
entite,famille,annee,0.0060357302
entite,famille,semaine,0.0035308397
entite,famille,Ferie,0.013642267
entite,famille,avant_Ferie,0.0014530848
entite,famille,après_Ferie,0.4895834
entite,famille,solde_ete,0.01372148
entite,famille,solde_hiver,0.0012185323
entite,famille,t-1,0.205258
entite,famille,t-2,0.016744774
entite,famille,t-3,0.003029769
entite,famille,t-4,0.008341561
entite,famille,t-5,0.0022352384
entite,famille,t-6,0.008927371
entite,famille,t-7,0.012319528
entite,famille,jour,0.0035876918
entite,famille,joursemaine,0.17549369
entite,famille,mois,0.0017287283
entite,famille,annee,0.00030176502
entite,famille,semaine,0.003638502
entite,famille,Ferie,0.005511664
entite,famille,avant_Ferie,0.0010064486
entite,famille,après_Ferie,0.55058664
entite,famille,solde_ete,0.00039581294
entite,famille,solde_hiver,0.00089282024
entite,famille,t-1,0.11450694
entite,famille,t-2,0.02189981
entite,famille,t-3,0.02227617
entite,famille,t-4,0.03924756
entite,famille,t-5,0.022406656
entite,famille,t-6,0.034237724
entite,famille,t-7,0.04171386
entite,famille,jour,0.029640824
entite,famille,joursemaine,0.0785257
entite,famille,mois,0.031051615
entite,famille,annee,0.03915846
entite,famille,semaine,0.04266515
entite,famille,Ferie,0.0059380755
entite,famille,avant_Ferie,0.083627075
entite,famille,après_Ferie,0.26653367
entite,famille,solde_ete,0.096585535
entite,famille,solde_hiver,0.029985137
entite,famille,t-1,0.23398897
entite,famille,t-2,0.019318163
entite,famille,t-3,0.0023543949
entite,famille,t-4,0.0057610585
entite,famille,t-5,0.009506774
entite,famille,t-6,0.0054279584
entite,famille,t-7,0.012200999
entite,famille,jour,0.008208866
entite,famille,joursemaine,0.14037848
